county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,313792,313771,368122,1377,68414,23960,673447,2570,1466,409,67043,0,8158,33506,85048,14252,17103,4334,11283,4595,11288,5043,4777,5009,1011,4006,1202,2346,240949,682310,10886,10477,409,14323,1564,15959,1909,1678,5851,1648
BISTRITA_NASAUD,59734,59734,13270,0,5830,6319,98633,793,0,9,67248,1557,7753,0,1648,348,11964,62,4645,1038,0,1194,931,2681,561,3575,6,561,110415,199684,1221,1191,30,30672,484,11397,12,1654,10,1121
CLUJ,120318,119910,47064,377,42462,11564,255113,4640,535,665,114904,70731,4275,3731,15560,3844,30858,1157,15544,6208,656,1304,2252,11083,1466,9901,497,4357,139274,246048,1019,1015,4,8368,1134,11907,264,606,80,686
MARAMURES,66404,66404,12356,0,2106,6802,87946,8918,0,234,162264,71,3042,24,3863,0,7707,72,3235,1177,0,893,1382,1853,778,2305,12,462,23630,361198,1033,1033,0,43719,2029,17162,36,2389,82,3608
SATU_MARE,217127,217061,129015,448,21743,14832,537586,37139,748,195,25888,0,39252,38840,96728,23986,33289,2030,13021,6736,3657,6485,3542,4693,702,2474,487,1666,104225,201175,15739,15682,57,9812,1271,29064,528,3384,569,1753
SALAJ,64100,64011,23761,3,5444,11669,116833,8208,139,8,84186,0,3457,502,12014,1929,10836,575,6154,2343,0,1226,2585,5527,1093,5958,211,1044,49686,134697,12098,12026,72,22207,1564,44547,528,1032,239,1671
ALBA,119637,119465,66505,0,13309,3212,252750,8363,50,46,44683,19699,2071,2130,21723,1253,22244,208,18692,3719,129,2382,4074,12476,873,14130,109,1750,160585,378061,44862,44862,0,13057,1704,13100,636,1397,882,1731
BRASOV,69514,69477,31120,1005,15189,1267,52253,7959,935,1,110861,82722,11544,5679,335,3403,3788,28,963,198,0,34,44,1065,33,2103,15,134,134960,340931,51,5,46,4419,541,4148,154,205,2,83
COVASNA,84133,84127,96376,2551,18380,3083,69610,5512,206,109,269889,81395,7021,5022,973,929,21100,12,1123,521,0,10,15,2659,141,12612,22,86,88856,216839,0,0,0,3952,157,4252,2,496,0,738
HARGHITA,53400,53399,33914,1823,15561,8519,14108,4706,0,0,146243,6946,1052,84,0,0,5328,0,355,28,0,0,*),2442,17,1959,9,9,85631,186413,0,0,0,5236,346,2913,0,226,2,221
MURES,190549,190549,126888,328,23988,13596,497356,8471,386,200,86679,132733,4224,10241,23927,12872,24548,1302,17314,5712,2371,3316,6427,11742,1727,15625,696,1709,240538,747625,3927,3927,0,26537,1083,10199,165,1887,125,1577
SIBIU,59715,59680,16731,244,3484,1591,137632,4551,211,55,50082,25596,2446,742,1454,639,16990,438,4019,2696,0,649,1205,3962,474,4873,173,490,93686,198838,663,656,7,9134,432,4642,15,428,38,266
BACAU,159893,159845,59109,56,9057,4537,472844,1914,974,180,41300,4089,3399,7222,47328,1510,18089,363,14219,2048,799,1685,6468,4662,1517,12896,0,1398,78333,314911,24677,24645,32,8597,614,8302,496,2454,238,1701
BOTOSANI,312881,312869,119720,1475,12530,20153,656634,555,1927,2566,114741,56951,5729,11210,158361,41779,27890,705,15690,4222,17587,2349,6008,5996,2317,9280,377,2702,169572,357417,11104,11009,95,11696,1185,8027,724,3159,92,1507
IASI,240335,240276,146955,367,16881,8626,535020,1936,791,1483,61784,209408,15219,10606,106362,8850,29807,1755,28012,4819,22338,2817,4343,9809,1640,14336,662,2924,53387,332821,47407,45982,1425,12961,1984,11495,1379,8175,19,1924
NEAMT,157659,157659,96646,1888,22549,12248,451612,5880,816,275,81926,146135,26935,10621,46317,7992,16349,500,9010,2291,616,1620,3694,4076,1245,7347,292,1593,45657,308525,3085,3085,0,13061,757,8868,195,2322,9,1169
SUCEAVA,185705,184132,80461,5802,14266,17665,213450,9857,638,866,265555,29554,39064,6087,12022,7460,63148,1123,14703,8599,1208,4076,7947,9628,4575,25440,952,2698,244478,779693,0,0,0,30388,2596,9936,42,1676,0,2021
VASLUI,219148,219119,141878,582,16263,3941,353625,240,976,491,10061,840,9668,17961,113778,614,19729,300,11894,2313,10019,1356,4334,1837,1033,6080,423,1589,53616,145973,70579,68586,1993,7180,793,4425,589,2878,69,1018
BRAILA,396274,394578,361287,0,160837,4079,965404,1012,22491,389,1012,23433,0,20601,265713,57732,1826,17,4263,327,44923,1025,5449,1918,24,2425,166,26,67801,292745,13525,13496,29,1027,315,3778,1476,1060,199,727
BUZAU,259342,259316,293264,107,42593,3886,783942,3622,3615,380,11778,0,756,28847,134113,4006,16762,616,22367,3001,32658,1816,4685,1183,1714,5952,85,402,15372,198287,86548,81815,4733,15443,2256,42172,1233,2996,838,2122
CONSTANTA,476680,476631,862386,166,302735,17611,357400,2425,38762,619,5950,0,43,53577,230976,1641,5657,29,12756,1446,1481,696,991,8396,361,7325,166,218,60322,82562,46342,42969,3373,696,255,7490,2219,1331,2521,496
GALATI,264595,264037,179454,64,57681,3226,491551,1034,11372,534,8617,2795,0,17476,141184,12902,25975,995,82286,48558,32600,10179,16101,10724,1349,13367,443,2373,16030,159403,60902,58996,1906,2698,579,3987,942,2473,199,807
TULCEA,262833,260618,328759,368,81487,4123,182465,3152,8304,921,11330,0,103,15148,127084,8254,17377,536,11361,1712,12919,1738,4273,1570,813,7644,432,990,30857,100214,33002,31956,1046,1662,354,498,115,145,21,40
VRANCEA,123306,123306,103193,1,14693,9026,268803,155,589,372,21841,0,3895,1237,19780,169,18550,792,14153,1643,1913,2430,6605,3404,622,9294,177,917,139918,149277,174532,140915,33617,11492,719,29764,513,2856,99,2778
ILFOV,63494,63402,87661,20,15881,850,75520,4447,997,74,4011,0,0,15701,27886,239,19857,3665,21349,3237,6156,5947,5865,2519,822,3322,444,608,31099,36778,4266,4266,0,352,186,652,486,661,102,21
BUCURESTI,60,49,0,0,0,0,0,0,0,0,0,0,11,0,0,0,335,0,30,0,0,0,0,0,0,0,0,0,124,304,0,0,0,0,0,0,0,0,0,0
ARGES,159067,158768,205061,0,12811,11595,267646,26915,287,69,23203,0,9517,5927,52506,233,16780,0,31100,1617,835,2018,2858,1105,447,8328,103,270,30517,146851,3314,3223,91,26239,5263,36022,1259,2810,126,2337
CALARASI,410297,408706,709792,20,169788,1273,999394,1536,41436,198,334,0,0,96165,107817,66086,2646,211,5429,1169,2271,1008,890,1679,321,2257,519,411,85575,200193,14244,14244,0,790,540,653,247,175,168,232
DAMBOVITA,194615,194372,171781,0,27180,14846,330778,6702,5454,255,40597,0,751,11118,58492,52,160877,1716,36306,7853,8033,9029,10790,17718,2028,15210,373,982,61739,111758,1122,1110,12,50056,4465,45765,766,2521,236,1132
GIURGIU ,250127,250091,416464,222,114947,1648,329835,12507,8212,213,2531,0,0,57687,91324,15548,19513,2596,27080,4469,4350,6540,7773,971,1905,4352,1114,421,59410,304804,15223,14260,963,2341,1008,3966,1310,2067,152,727
IALOMITA,348476,348064,557566,0,91203,592,835269,505,14268,265,28,0,0,51606,134738,22318,13324,1515,18152,2032,49040,8321,17591,2298,552,3612,831,678,41547,138166,11725,11685,40,263,52,639,416,373,78,62
PRAHOVA,142960,141819,182654,0,31422,1467,290357,2292,1360,30,21113,0,2632,17960,41886,2359,13238,219,14615,2440,253,1613,2979,2228,950,3903,334,815,45520,89562,34364,33369,995,19340,2361,44066,1231,2786,558,2141
TELEORMAN,415967,413323,823526,0,118128,7436,565361,7467,11834,58,2156,0,0,58192,233509,2264,23763,577,23263,3553,14881,4441,3888,1226,2797,12062,533,877,79109,88800,23039,23030,9,1501,434,4820,1125,805,275,663
DOLJ,513832,513328,894700,5975,131830,8946,615240,22649,23033,291,6052,0,5124,27712,332272,474,40428,908,42340,5808,140880,4006,7792,2375,3180,10208,576,1908,60021,172865,69319,68488,831,1623,840,6064,993,2211,236,468
GORJ,80199,80199,35981,0,2812,5150,248307,8570,343,278,26577,0,5566,0,918,0,17105,0,8652,2782,42,1765,2486,4939,788,10809,470,2553,505,65105,13202,13202,0,8749,1376,34638,1306,2246,222,1730
MEHEDINTI,146373,146129,206034,693,22863,9081,306762,5292,7848,546,8759,0,426,17681,60667,84,20154,782,7028,2269,14139,916,2311,1284,1783,9659,922,1352,1491,51231,26319,25912,407,15509,1689,31389,1111,3629,289,1381
OLT,376632,375739,752687,0,66123,11049,492420,20019,9201,304,9878,0,0,23174,230908,3743,31887,1700,34432,8694,35706,9647,13643,2445,2533,7397,982,812,29389,216941,26677,26377,300,5296,879,38957,3253,2901,263,1044
VALCEA,69326,69326,47750,0,1693,4860,261392,2264,3,191,32062,0,5888,1802,5114,0,19448,352,11929,2640,116,2902,6840,2410,961,7686,103,659,5821,81743,31270,29949,1321,26933,2179,60194,1066,2074,147,2773
ARAD,345499,344944,367793,96,44491,56507,795066,30131,1868,86,17122,12056,2904,71162,208626,5512,47007,3600,32480,10792,20442,7534,12512,12027,3049,16723,1762,4084,60779,232622,13132,12356,776,4565,506,8461,213,959,355,1055
CARAS_SEVERIN,77356,77356,82045,30,4067,1055,97498,7245,15,1,63072,0,47,5384,7793,6422,4580,20,4701,822,162,718,1052,2193,454,3247,222,273,5482,226990,3981,3981,0,13894,746,32965,321,1338,376,1324
HUNEDOARA,49785,49776,31307,35,2094,102,104156,3752,71,42,81213,156,18624,586,1104,587,13689,460,6170,3016,4,1886,3229,4024,1502,7190,224,1910,35238,130367,0,0,0,9940,1178,31107,211,1187,231,1999
TIMIS,500330,497938,735018,59,70148,9581,1726089,18093,1343,187,20842,10296,2664,43551,276105,59352,54297,7250,27283,8322,24472,6399,9038,11531,2588,13763,834,1649,65257,405782,23413,22311,1102,7568,850,16540,1165,1518,2097,1100
