county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
VASLUI,211418,211403,139820,538,20218,5476,504729,455,1068,542,11986,5060,53878,25520,148580,522,20302,345,12364,2156,11237,1394,4501,1972,1724,6427,361,1734,57265,171009,90162,87945,2217,8664,910,5592,714,3270,90,1099
BRAILA,372481,367930,383338,279,158658,3750,877282,1123,17889,722,923,22924,5891,62989,252635,85040,2241,20,4412,311,49879,1200,5545,1835,45,2219,36,28,22079,326763,15532,14548,984,1305,396,5239,1574,1286,288,767
BUZAU,268699,268679,290396,16,42318,3499,862867,4584,2801,513,12504,0,0,94119,105491,3881,17362,686,26113,4144,38101,1830,4834,1287,1736,6019,95,421,16989,233674,98896,93125,5771,17581,2508,43989,1376,3264,1001,2308
CONSTANTA,474344,474140,1017944,88,305018,18184,457152,2551,34280,775,7129,0,1046,102463,296518,1353,5784,44,15326,1558,1656,930,1038,8011,363,7260,171,223,84435,111356,53324,48807,4517,772,311,9140,3628,1571,4633,884
GALATI,275685,274547,177788,1916,58620,3450,639398,614,7970,605,10403,7423,0,43743,147179,16470,29004,1450,86614,57350,34202,11075,18661,11405,1504,13042,468,2124,18023,173972,73863,71051,2812,3597,653,5743,1068,2998,231,869
TULCEA,267195,272478,388001,310,91773,3613,430068,6300,6830,990,11873,0,0,61999,180811,11679,18219,672,11530,1740,13111,1787,4482,1555,830,7944,604,1850,24497,101655,36076,34930,1146,2110,428,531,135,192,37,37
VRANCEA,122767,122767,106837,0,10629,9521,381769,172,640,434,26652,0,0,3421,15891,174,18726,990,14470,1602,2224,2601,7212,3895,655,9237,218,950,153624,159484,206598,163470,43128,12026,781,33940,565,3421,110,3020
ILFOV,66769,65984,76811,0,15306,933,81913,4712,1045,80,4191,0,4,28478,23410,173,23664,5060,23747,3930,8265,6763,6920,2577,841,3627,489,614,28335,36967,4721,4721,0,606,320,849,750,959,236,24
BUCURESTI,60,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,49,0,0,7,0,0,0,0,0,0,122,308,0,0,0,0,0,1,0,0,0,0
ARGES,152748,152749,149807,130,15541,13709,436907,23470,174,82,29939,0,14150,9147,34794,363,17498,0,31994,1684,979,2082,2923,1136,459,8846,106,922,38570,175463,7618,7557,61,62020,8161,71617,1359,3348,148,2520
CALARASI,409721,405385,719600,580,155011,4390,924439,1236,19810,229,434,0,10404,205987,146290,54919,2915,286,5620,587,2478,1010,945,2358,325,2354,360,411,54187,193847,15142,15142,0,886,610,659,247,179,169,223
DAMBOVITA,164757,164443,117118,0,24190,14986,338944,6359,3055,298,42912,0,0,14960,28882,121,168368,1927,40302,9960,8426,10192,11682,17273,2114,15247,399,1109,61300,124942,1357,1345,12,85061,5639,60680,846,3004,355,1260
GIURGIU ,240564,240276,410625,53,114707,1358,374286,17094,5491,226,2765,0,811,84443,81339,23775,21598,2957,30072,5105,4889,7502,7992,1020,2021,4323,1260,463,68723,228033,18794,17644,1150,2451,1038,4661,1619,2420,191,783
IALOMITA,348178,346188,580541,206,87143,1477,779148,1273,19955,288,22,0,0,187367,121017,26494,13738,2820,9100,2378,46137,8472,20396,4235,569,4078,1099,803,29492,159283,12050,12001,49,236,53,843,366,294,88,66
PRAHOVA,142403,141125,128080,0,15364,858,325727,554,55,36,21406,0,0,37963,31100,2475,14421,304,15437,2926,315,1636,3118,2400,959,4040,338,827,42881,103770,46980,45717,1263,30041,2766,50207,1462,3086,747,2202
TELEORMAN,412416,410921,781749,318,103871,6114,494914,8713,8124,106,2754,0,2935,142477,228300,5393,24264,1043,22213,3716,18387,3800,3957,1251,2917,11781,550,749,82232,104044,26665,26657,8,1695,538,5563,1352,858,327,720
DOLJ,482227,479503,906619,6173,136720,10416,661290,28334,12307,381,6640,0,13168,64682,204998,3542,42818,1200,43279,6311,157365,4275,8172,2623,3355,10492,580,2213,83290,211253,77864,76927,937,1645,883,6674,1097,2253,204,510
GORJ,80141,80142,43936,0,2819,5225,364563,9966,347,301,41499,0,634,99,615,0,19027,0,9806,2857,0,2052,2736,5442,839,10947,501,2791,210,75556,17603,17603,0,8582,1578,39620,1369,2569,244,1845
MEHEDINTI,144333,143666,221606,666,20438,8999,356178,5996,9155,612,9432,0,5881,23468,50357,102,22290,1058,7961,2388,16580,946,2440,1454,1821,10165,956,1502,150,49344,33669,33122,547,16433,2039,35384,1186,3857,347,1477
OLT,368491,367047,733581,0,57989,9268,691534,21676,5489,347,10195,0,477,49784,174276,3156,37204,2346,37990,9745,41453,10804,14961,2561,2588,7748,996,918,27184,153793,31981,31635,346,6657,1173,41510,3847,3431,330,1143
VALCEA,69663,69641,38955,0,1541,5025,288765,2058,0,258,38709,0,0,1953,4501,0,21491,400,13069,2896,129,2963,7029,2480,1067,7799,106,661,6743,109073,17699,15924,1775,35094,2398,64569,1186,2291,176,3097
ARAD,339183,338505,390963,63,51023,65937,841249,30205,1118,93,19194,59794,26906,90453,126980,12873,51618,4507,46402,11251,23225,7933,13622,12650,3375,17635,1861,2610,64264,372625,14858,13877,981,5645,570,9730,252,1069,605,1138
CARAS_SEVERIN,82725,82725,78005,502,5183,1055,120209,5103,67,2,69389,0,3134,11059,13816,5376,5022,30,5158,865,0,719,1132,2330,468,3312,224,280,18054,247012,4017,4017,0,16566,944,39575,369,1488,438,1432
HUNEDOARA,49760,49748,33059,27,1858,109,120819,2357,65,49,93024,1139,54,714,896,631,16486,589,6545,3130,4,1947,3524,4571,1542,7730,226,2076,28116,174188,0,0,0,14085,1314,43769,247,1424,281,2234
TIMIS,507536,506183,702361,3,33191,8981,1505730,20642,1340,234,21962,53086,20758,80251,204816,55336,58222,8869,28184,8679,25936,6712,9594,12309,2638,14359,832,1748,47941,591196,27328,25986,1342,8050,1115,18067,926,1692,1717,1174
