county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,304377,302368,335385,1222,83677,30154,664586,1513,733,555,73422,85853,72961,22368,47964,15411,18391,5533,13073,4770,15365,5301,5001,5194,1021,4045,1181,2573,259632,814637,11332,10993,339,15721,1772,19493,1905,1869,6663,1747
BISTRITA_NASAUD,60591,60591,12277,7,8166,8344,106695,1349,0,6,72240,1766,9335,0,778,88,13326,128,4920,1094,0,1223,975,2770,564,3637,8,586,133377,267006,1685,1631,54,31709,1048,13344,24,1770,11,1248
CLUJ,118035,117654,44843,165,42946,12348,336034,4526,663,805,122466,47874,8666,3879,11749,6110,32718,1423,16464,6051,751,1376,2328,11365,1449,10235,515,4550,165950,287292,1246,1242,4,9545,1404,14229,286,555,89,766
MARAMURES,66888,66888,14841,32,2306,7258,116240,9611,0,257,173984,23,4276,38,2288,1,8601,106,3404,1312,0,899,1474,1978,786,2346,13,481,26264,436005,1345,1345,0,47661,2260,18364,38,2618,103,3988
SATU_MARE,206483,206385,186370,406,22635,13950,592892,37063,893,231,31117,549,5401,47870,70598,24329,36030,2737,14285,7501,3953,6872,3917,4894,711,2510,518,1834,139529,252864,16240,16181,59,11534,1471,32226,564,3714,679,1888
SALAJ,73936,73869,24457,2,6332,11717,137201,9728,184,6,94166,0,42335,824,7566,1845,10843,598,6852,2573,0,1267,2728,5664,1114,6087,232,1054,52801,328402,13977,13882,95,22767,1653,47801,637,1205,311,1841
ALBA,121768,121735,76653,0,15073,4820,326064,13061,105,61,47131,21572,36251,6931,14965,1677,23142,290,22236,3914,121,2603,4388,13060,2043,14563,102,1778,177928,394085,44245,44245,0,14993,2135,14390,751,1561,1097,1942
BRASOV,70057,69396,33960,1016,16278,1900,56310,8878,1220,2,118382,83940,4906,6083,241,3645,3841,36,989,205,0,39,48,1132,34,2309,12,141,197530,418777,59,5,54,5085,651,4831,246,263,3,93
COVASNA,84361,84355,99463,2097,20448,3014,76113,5546,284,113,279006,84933,16839,5554,896,1122,24043,14,1295,565,0,9,15,2746,178,13149,58,98,140050,244690,0,0,0,4260,150,5076,2,569,1,794
HARGHITA,53325,53315,33676,1910,16215,8862,16541,4980,0,0,193823,4074,6012,43,0,0,6469,0,368,31,0,0,44,2616,20,2016,8,5,89125,241901,0,0,0,6148,380,3492,0,266,8,244
MURES,187788,187788,120595,338,27146,13649,521379,10994,465,227,97269,150382,0,10659,21146,14980,26459,1413,18446,6056,3096,3557,6742,12279,1785,16085,705,1710,247801,810654,4366,4366,0,31972,1344,12074,183,1968,157,1811
SIBIU,68567,68567,20520,138,4283,2178,150754,5621,227,61,60098,22527,4796,999,1479,896,17364,474,4361,2935,0,703,1249,4001,484,5040,171,500,110681,360876,685,678,7,10856,543,5051,45,524,49,274
BACAU,151452,151444,70425,42,9333,4413,572482,237,840,222,42348,3473,114080,9613,27792,1604,20602,485,15905,2081,1024,1780,6884,5098,1591,13158,24,1436,104925,368062,28985,28961,24,8042,756,9242,534,2764,322,1870
BOTOSANI,269855,269544,117290,973,14180,20705,772097,590,1843,3104,132089,34169,3846,13500,114984,51174,28213,915,16878,4651,19699,2567,6582,6369,3471,9399,451,2978,223879,402750,12122,12014,108,14617,1698,8789,798,5948,112,1593
IASI,226674,226328,142498,345,13534,9514,590948,2253,2944,1741,69891,116430,15303,23963,60086,10917,32627,2283,30121,5200,32741,3106,7996,10183,1707,14601,681,3066,68472,360310,71774,70159,1615,14997,2136,13875,1881,10321,22,2059
NEAMT,155494,155494,98549,1615,23082,11288,467831,8433,1025,332,96897,153893,18354,24173,43616,9787,17955,520,9665,2685,666,1693,3728,4332,1275,7498,211,1528,44647,342424,3447,3447,0,15138,916,9729,218,2771,13,1227
SUCEAVA,192743,191558,94329,6460,15947,13275,299892,7521,2011,1372,391317,17382,13330,6871,13050,8175,72300,1265,15880,9692,1481,4202,8147,9855,4987,26850,351,1246,225703,928932,0,0,0,37003,2997,11974,52,1927,0,1836
