county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,300705,300031,320820,2010,21931,9601,284432,5896,897,315,17481,0,0,45295,50183,8630,14687,2733,7927,3573,1620,2906,3207,3516,893,3361,780,1898,148621,494927,5893,5602,291,13096,1323,22396,983,1238,2872,7197
BISTRITA_NASAUD,48795,48795,14824,32,5405,2309,82175,3804,0,7,36950,0,242,266,1150,494,11141,0,3008,876,0,1025,756,2077,742,2768,8,561,83605,172376,2413,2399,14,22789,951,7613,9,1580,6,1135
CLUJ,107432,106443,52649,353,29838,5683,172859,7275,654,608,26602,492,0,5535,13515,2926,20210,979,13808,3872,281,1206,2389,8226,1229,7459,264,2225,112169,224123,1705,1705,0,8604,887,14559,214,686,65,714
MARAMURES,55228,55223,13856,0,1312,2920,65611,4283,0,153,29585,6,27,0,1848,22,6782,77,2299,952,0,575,1067,1549,641,1724,0,430,14499,297696,1238,1238,0,43655,1479,14917,23,2392,85,3831
SATU_MARE,229358,229026,174731,677,11070,12450,223230,23316,971,144,11888,5,0,57033,66552,14883,21317,1970,9559,5200,1881,4672,2658,3295,631,2138,1069,1415,43246,139537,9805,9777,28,8745,910,26273,381,2720,483,1700
SALAJ,64815,64417,33460,609,3852,2569,88524,5276,530,40,11734,0,0,3792,6693,3207,7037,490,3200,1630,0,746,2616,2851,802,4030,91,790,57858,109044,7438,7366,72,18845,1282,37524,364,841,188,1592
ALBA,116614,116498,58894,0,8668,662,167494,7239,629,17,26030,234,13793,7379,18118,1412,20118,266,11384,4252,78,2184,3110,8017,1661,11395,60,1328,115515,387331,34200,34200,0,11957,1548,11929,503,999,684,1611
BRASOV,55758,55599,35565,965,8014,1032,56737,6778,676,0,52920,20685,19,8353,1220,8457,3066,22,573,115,0,0,21,709,7,1507,18,103,87322,180911,0,0,0,6036,446,3167,107,215,1,69
COVASNA,82737,82719,88342,2128,10106,1550,45206,6937,235,32,272492,35771,6479,5972,1036,1576,10623,0,676,226,0,0,15,1974,29,7227,3,88,87397,169071,0,0,0,4172,136,3433,1,386,0,657
HARGHITA,51824,51782,51181,6762,15616,1858,10599,2494,0,0,119639,2501,20,0,10,0,4895,0,280,13,0,3,48,1571,15,1252,10,6,60110,167352,0,0,0,4260,238,2433,0,215,1,202
