county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
MURES,176616,176613,118871,476,22518,11656,465050,8512,327,201,30864,14965,0,13396,27834,7000,15038,1571,10320,4065,1208,2654,4167,9743,1289,10046,4105,1183,219347,688840,3540,3540,0,27613,1116,8864,135,1708,97,1764
SIBIU,62318,58975,24541,214,2328,843,125709,3863,39,7,8908,150,1,2547,5022,2189,10490,472,2548,1863,0,482,1101,2248,123,1647,83,439,77156,195840,546,546,0,5375,251,3570,12,222,45,231
BACAU,154363,154251,53507,316,6049,2092,247433,2305,300,179,19877,4192,5,6518,28184,1110,14963,3,11564,1986,691,1497,5482,3446,1336,8458,38,1183,28199,252674,21484,21456,28,6485,1113,7510,411,1580,186,1590
BOTOSANI,288829,288137,115074,3436,9774,6912,377572,410,1727,1114,7921,37762,2857,17591,78670,24548,16919,0,10196,3391,8621,2372,5162,4017,3465,6736,401,1513,165952,239953,6130,5987,143,11134,957,6413,559,2446,65,1384
IASI,258393,254873,107631,283,11684,2449,172735,2590,1542,710,8788,51491,18,18955,60539,6200,15084,1260,17087,8026,17300,5484,7688,11762,1496,12726,633,2595,54241,237457,40217,39559,658,14143,1512,10637,1510,8591,16,1650
NEAMT,152016,151817,87843,1174,17161,4663,244350,5230,620,174,22685,81740,1568,18097,38654,4209,9181,0,7142,2755,535,1474,3397,3505,997,7295,43,1220,35489,227060,1865,1865,0,12541,599,7247,162,1949,8,1098
SUCEAVA,181023,181023,71691,6165,14697,9262,247382,6099,763,562,354371,25204,30309,4676,20770,4499,59027,1070,15224,6799,1400,3181,8146,12026,3775,20975,287,1537,134254,694808,0,0,0,55856,2883,9625,49,2205,17,1551
VASLUI,241831,240124,171259,2,14520,3023,146966,305,1333,213,626,1244,0,13941,56328,1534,13723,0,10899,1681,7576,1136,3348,1221,1017,6016,300,1226,37918,116450,51142,49830,1312,4351,620,3259,806,2766,64,938
BRAILA,319590,312676,267758,4,89345,634,547948,449,3175,174,550,0,0,14157,116793,47575,1292,35,3550,235,5246,968,5122,1193,48,2090,57,40,7674,867391,10530,10496,34,548,281,3001,1035,828,194,654
BUZAU,255604,117627,109153,45,22579,476,25574,1090,1372,89,8644,0,0,32390,48134,2675,9693,0,37028,2025,17585,2840,2531,1413,2528,8222,57,495,36616,147030,79127,76069,3058,16809,1931,39962,1009,2169,612,2028
CONSTANTA,443347,442260,811647,84,383403,9845,223205,717,16591,143,20,0,0,90544,176232,1320,3276,0,6496,828,889,482,715,6512,364,4272,121,657,57168,53929,41925,38807,3118,587,197,5632,2263,911,2093,1335
GALATI,292316,271424,116263,3,41243,499,249362,1036,4584,92,2564,2868,1324,8863,60691,6166,21713,1087,47239,40714,8078,6747,12734,8134,1296,8995,200,1232,8365,68041,43956,42351,1605,2650,460,3399,693,2475,165,712
TULCEA,205304,200500,246493,207,52881,750,100710,3186,2944,34,698,0,0,20924,76134,7694,13506,0,7058,1051,3093,1425,3158,1331,686,5333,514,725,1402,71841,27312,26521,791,1185,274,384,146,179,35,39
VRANCEA,108503,87615,36249,195,3444,4129,34966,12,7,466,1933,1820,1971,1999,8876,28,9544,0,7239,1163,1730,1623,5602,2039,539,7225,0,799,113541,83500,167313,141658,25655,9864,546,27248,328,2274,93,2586
ILFOV,61893,61460,83904,5,11829,321,37877,2090,1787,108,0,0,0,28479,23661,33,12207,3180,15079,3679,29,4278,5371,1278,1098,3356,3819,700,17180,7900,2724,2721,3,346,192,536,343,637,69,32
BUCURESTI,62,53,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,38,5,0,2,4,0,0,0,0,0,141,445,0,0,0,3,2,1,1,3,0,1
ARGES,152773,152722,190039,0,5594,2891,185339,8293,845,44,10982,0,0,16262,57192,9,15744,0,22695,1382,0,1552,2208,1000,767,7472,206,844,18748,71998,2607,2531,76,38186,5674,69183,1042,2327,100,2463
CALARASI,408289,404795,609747,106,173033,7328,473217,300,11110,20,0,0,0,125669,108944,22745,1599,0,4055,1059,1473,747,666,311,558,1614,326,384,20938,121640,9590,9381,209,729,444,598,208,113,153,216
DAMBOVITA,150456,150323,117352,0,32171,7816,204791,2658,1954,98,19794,0,0,11751,41338,37,95570,2249,34641,7253,4220,8072,12845,14911,2125,14877,470,1059,34918,79380,1290,1290,0,88711,4446,38348,631,2074,310,1095
GIURGIU ,232728,232706,394260,240,105747,3283,220594,1996,3641,165,0,0,0,82929,61787,4483,11553,518,19061,3154,2331,4596,4641,321,1380,3321,775,217,43297,143185,8643,8104,539,1981,840,3489,974,1673,136,647
IALOMITA,362721,361885,460478,0,76861,245,538779,324,5327,56,304,0,0,105937,145958,21019,10199,411,12904,1167,16043,7243,15931,1456,737,3023,92,734,7014,92424,4071,4049,22,160,67,504,227,272,12,60
PRAHOVA,139294,138945,146429,0,21975,797,177585,1234,438,68,9304,0,1445,41930,35722,2233,13500,411,11701,2762,88,1418,2629,2466,882,3959,405,1068,24605,68926,33637,32861,776,18263,1922,44152,1087,2287,457,2023
TELEORMAN,397830,397481,699248,346,114645,3390,163881,1622,7588,107,583,0,0,122864,173934,137,11229,776,11901,2704,4788,2551,3710,900,2807,10175,229,545,70126,107000,15549,15548,1,1253,321,3422,833,711,185,636
DOLJ,476745,474607,782903,4861,118587,6416,296497,15769,15093,189,6179,0,46,40775,206560,5336,24364,0,36136,3481,35943,2639,9310,1507,3175,5255,224,965,29996,165032,44191,43610,581,1287,802,8942,912,2121,137,434
GORJ,75640,75637,42209,0,1645,5283,217680,8171,262,126,1474,0,0,0,567,6,8700,0,3780,1045,0,1386,1897,3210,658,5634,218,1655,0,38422,14255,14255,0,7217,1139,29016,1046,1778,180,1525
MEHEDINTI,149274,149274,180006,870,29393,6510,146363,5072,6378,381,3970,0,0,16325,42026,319,13156,0,6255,2451,10671,1200,2632,1483,1391,6445,597,812,6231,51268,19297,19003,294,14939,1684,25291,1009,2951,248,1267
OLT,319910,319504,567052,329,83492,9423,206792,5912,12541,229,558,0,0,58750,141985,2718,24258,577,25541,6165,8375,8177,12718,1844,2513,9867,525,845,10061,76280,30342,30120,222,4852,646,35165,2439,2296,236,976
VALCEA,62741,62699,25812,0,2563,3666,149291,1781,418,201,2774,0,10,428,2237,0,12242,120,7841,1070,0,1867,4354,1568,797,5820,0,553,7385,65041,26092,25227,865,29196,2234,59822,838,1546,119,2653
ARAD,255137,254346,362768,327,39707,8099,227256,9073,664,80,5832,5,0,41859,34574,3964,43842,0,30917,10746,7365,7719,9188,7163,2382,11654,605,1672,29763,186183,11351,10586,765,7458,470,8109,286,810,462,1015
CARAS_SEVERIN,63887,63625,64877,0,7797,1128,65393,3737,0,0,18495,0,0,15013,3593,2690,3232,0,2942,696,0,386,1186,1630,485,2515,110,336,5305,157942,2542,2542,0,11878,648,32325,223,1089,266,1214
HUNEDOARA,48902,48820,32449,500,2891,1340,72731,2887,32,83,15790,196,110,1711,1073,364,9925,583,5720,2047,1,1487,2056,2871,1352,4816,248,1271,51410,100657,0,0,0,8470,1040,22210,171,907,228,1803
TIMIS,394288,392500,742402,1127,71282,5800,247239,12384,2589,16,10061,0,46,120627,62236,19878,45059,3128,11944,4405,9216,4670,7315,8713,1519,10383,677,1180,117731,410543,24168,23118,1050,5694,719,14913,668,1407,1454,1004
