county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,308475,307846,353051,2111,23608,11103,619076,8356,1053,427,21737,0,4590,51218,67694,12999,19272,4122,10065,4494,6118,4934,4328,4831,1121,3867,1167,2322,176526,605420,4187,3839,348,15817,1716,18360,1135,1483,3696,3733
BISTRITA_NASAUD,49787,49762,14679,33,4714,2558,84033,3740,0,8,40934,441,2200,212,996,412,12240,85,4310,1030,0,1119,985,2551,813,3651,10,566,106313,216384,2012,1982,30,28517,1039,12515,10,1897,8,1262
CLUJ,108345,107739,54540,641,33275,6597,242928,7653,436,755,36356,48847,1194,4833,13980,3043,25961,982,15906,8802,395,1664,2712,10491,1483,9836,578,4213,142862,236031,1846,1842,4,8087,1013,16493,238,680,77,758
MARAMURES,56370,56370,13593,0,1376,3520,82909,4599,0,188,40098,6,5795,0,2009,50,7958,90,3342,1166,0,776,1218,1776,784,2124,0,501,26514,331848,1243,1243,0,48854,2005,16983,27,2962,94,3949
SATU_MARE,249861,249710,199991,569,11537,14272,571767,30274,1276,230,19944,1,8203,65650,103683,27489,33022,4626,15437,7811,2423,7376,4804,4875,722,2507,626,1658,115288,174995,12580,12548,32,12314,1032,31393,457,3181,544,1782
SALAJ,65981,65709,32199,0,5628,2573,131441,5538,1196,66,16032,0,2055,2509,9673,5252,10540,518,6612,3566,0,1018,3393,4846,1432,7787,294,1140,74354,118850,11444,11358,86,25109,1521,46938,469,1032,229,1819
ALBA,115000,114145,61238,0,9199,657,277063,9680,270,20,45982,19218,3379,6767,19233,3398,18933,383,12208,5729,183,2517,3882,9461,2011,16486,651,1807,175527,439369,36344,36344,0,13850,1706,13135,589,1211,745,1708
BRASOV,63478,63386,37068,1117,9893,755,67182,9375,421,1,66174,67173,3284,8202,533,6981,3809,25,950,187,0,32,24,1027,8,1857,0,161,121931,258501,0,0,0,11146,551,3921,123,287,2,80
COVASNA,86189,86171,97039,2390,12413,1801,48106,7092,163,110,286509,69057,4969,5839,1322,1223,19337,0,1293,843,0,0,15,2353,36,12654,4,102,107760,203101,0,0,0,4491,170,3981,2,484,0,719
HARGHITA,55224,55124,54764,1464,16701,2322,12567,8060,0,0,126823,5667,991,0,7,0,5709,0,391,27,0,0,48,2167,18,1702,12,7,77724,198055,0,0,0,4935,258,2922,0,248,1,227
MURES,179265,179265,130831,375,22533,11955,472692,9954,419,215,16943,125359,4136,14693,20621,11981,23398,2187,17949,6755,3601,3513,7284,12255,1801,15754,5814,2390,242485,788631,4135,4135,0,28395,1052,10121,156,1996,115,1956
SIBIU,62470,62441,26187,152,3589,760,151921,4688,60,7,19534,15359,2212,5437,3029,3363,17005,547,6925,4518,0,881,1762,5781,151,2071,225,836,92299,185147,496,496,0,9652,646,4174,16,282,53,256
BACAU,160570,160541,97889,450,6464,2959,410146,2923,359,233,8320,5968,5593,7017,46301,2508,25783,659,18771,3585,1354,1889,8619,4783,1652,12782,40,1364,50544,318238,23306,23263,43,9252,920,8523,468,1912,213,1703
BOTOSANI,275452,275217,152326,4371,11255,8361,740031,1516,3075,1927,13525,55350,6773,22292,115643,43011,27807,2017,16215,5824,16151,3464,6710,5369,3749,8774,441,2923,197214,313738,9521,9423,98,12820,1156,7812,643,2914,81,1482
IASI,269214,268723,225452,793,21828,5715,633817,5699,1634,1357,9382,165926,16464,21855,101669,11050,30845,3695,39472,12420,25190,7287,15523,14751,3634,24539,872,4242,76087,330562,78153,76800,1353,17548,2047,12504,1783,10350,22,1873
NEAMT,153706,153706,108192,1779,23433,6231,381875,9030,493,296,20823,140653,7036,17031,46732,5663,16556,974,13817,4318,1557,1886,5600,4458,1313,9588,429,1827,42134,298334,3087,3087,0,14145,706,8574,180,2343,9,1186
SUCEAVA,177580,177571,83648,7111,13248,15469,201601,6804,648,858,284238,43191,33245,7162,14910,6260,65069,1278,17906,7897,963,3738,9738,12435,4906,24599,952,2085,166219,702678,0,0,0,49224,3838,9920,38,1675,0,1827
VASLUI,246623,246579,268673,0,18849,4619,462847,508,2629,609,878,4553,1074,24672,105193,1934,17069,279,12129,2420,9547,1355,4310,1425,1094,6997,284,1630,43258,151484,72837,71161,1676,5004,705,5746,585,3277,75,1177
BRAILA,317087,312391,359182,0,113815,470,852229,670,6420,224,1273,643,78,16018,146002,52048,1601,57,5154,609,10320,1434,5627,1267,74,2222,52,32,11168,707646,10058,10026,32,559,263,3400,1279,1070,132,673
BUZAU,283439,283414,315402,282,47359,2273,663972,1636,12050,462,4192,0,699,45234,123497,4680,19430,500,26482,3771,82992,2102,4065,1340,1865,6383,155,515,29801,206510,103291,98626,4665,20743,2230,48047,1159,2827,722,2575
CONSTANTA,445674,444601,836548,224,416660,7376,263397,455,22545,232,670,0,0,101026,246515,737,4296,0,9156,1245,1077,528,883,7576,436,7158,191,668,80682,69079,45768,42330,3438,670,223,6547,2342,1095,2104,1434
GALATI,419770,418898,408811,62,106607,1424,1510470,6209,10874,369,4859,3837,4,32216,213758,11233,28614,1739,79620,49039,19061,10414,15873,10673,1693,11430,798,1991,17800,109847,55782,53879,1903,3045,500,3714,802,2378,188,753
TULCEA,210568,208242,363564,1063,84700,672,152351,2322,8667,102,1340,0,0,24718,109343,10347,16898,204,10682,1186,4911,1725,3932,1483,790,6107,588,973,6113,96079,30658,29813,845,1321,319,428,113,174,22,46
VRANCEA,94437,94437,116395,0,13882,10048,165954,114,13,611,1718,11909,2742,3332,15139,103,15501,997,13226,1844,3157,2086,6971,3033,712,8574,46,954,135780,132147,189176,157724,31452,11111,679,30074,395,2748,105,2718
ILFOV,73820,73669,118042,174,14927,525,87554,4026,1109,81,138,0,0,31975,24119,238,22319,4797,27983,5850,9083,8052,7391,3644,1488,5588,4425,900,24071,29542,2747,2741,6,506,196,684,375,819,92,39
BUCURESTI,73,54,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,18,2,0,1,2,0,0,0,0,0,234,229,0,0,0,1,0,0,0,0,0,0
ARGES,153018,152866,221375,0,8004,4213,201452,14196,1077,42,14526,0,7371,10984,46947,122,17508,0,27594,1895,1098,1834,3636,1294,802,9021,353,1172,33513,101355,3198,3106,92,42925,5936,77624,1150,2680,113,2676
CALARASI,403411,401267,665414,54,166211,1223,941407,824,9157,58,53,0,0,183386,108682,37331,2232,85,5371,1087,2306,998,749,934,679,2416,436,421,25016,138383,10661,10654,7,796,500,638,227,107,162,224
DAMBOVITA,148360,148200,105996,0,25398,8537,227232,3862,2381,161,19591,0,970,6352,33601,9,91587,2390,37924,9272,6178,8878,15303,15400,2272,16152,453,1242,45766,92829,1427,1414,13,64079,4484,48821,684,2463,343,1216
GIURGIU ,239286,239283,423198,2884,113492,987,218929,2373,3491,254,131,0,0,79508,53407,9251,14737,589,27378,4442,3439,6401,5549,436,1519,4200,797,281,53590,190708,9981,9386,595,2193,954,3780,1134,1884,151,664
IALOMITA,366403,365765,548544,13,105863,3465,959009,1087,7887,207,11,0,0,130420,154710,16492,17747,740,15188,2013,35506,9429,21751,1839,810,3912,399,751,18153,147053,9859,9816,43,176,47,613,260,279,16,65
PRAHOVA,136384,135948,159230,0,24187,922,243413,2321,872,116,2608,0,1747,38018,38240,2936,17425,823,17962,4578,424,2021,4029,5008,1233,6517,563,1463,28763,86098,45442,44708,734,19565,2443,61322,1254,2982,490,2132
TELEORMAN,385822,385495,776283,90,115120,3706,288776,2274,11406,144,1577,0,0,98062,179998,153,14308,922,26728,3736,8783,3895,4130,1116,2869,13094,715,772,74476,98310,17875,17869,6,1305,377,4084,1015,759,270,660
DOLJ,484101,481203,945187,5060,140096,10747,373749,20939,24611,138,14441,0,66,46858,263712,3492,45652,2377,61624,8167,55684,6292,14418,2136,3668,10632,768,2008,33563,197925,62561,61828,733,2054,1132,11211,1037,2300,149,457
GORJ,79018,79016,42512,0,1927,5984,192777,8277,348,291,2248,0,5331,0,481,0,17586,0,7792,2393,85,1797,2340,4893,761,9337,447,2772,160,70828,14716,14716,0,8363,1298,33040,1184,2120,204,1633
MEHEDINTI,152512,152416,193018,771,32597,7235,150333,5961,6909,357,7310,0,401,20185,47412,405,20184,259,11362,4203,25982,1554,4356,2484,1685,9396,1162,1442,6174,57634,25782,25439,343,22944,1949,35479,1357,3779,298,1400
OLT,351314,337371,653954,34,85043,10297,228346,6717,14509,376,1152,0,0,54845,222337,2059,36014,669,39612,11490,22710,11075,15900,3519,2855,11591,1159,1198,11006,84831,33804,33493,311,5829,763,43756,2868,2734,294,1009
VALCEA,66233,65923,34199,67,1520,4922,170798,4658,217,242,13009,0,5511,146,2778,3,19070,217,12335,2502,221,2264,5646,2614,992,6730,57,652,5984,93497,33092,31960,1132,36922,2848,81857,1030,1814,139,2741
ARAD,282368,282366,416414,596,36393,13073,471629,8644,1207,79,6893,0,800,69426,60197,13510,50704,6147,45397,12089,10542,8866,11872,9713,2774,14928,1541,2610,79287,262300,12913,12145,768,7706,606,9065,308,1371,496,1296
CARAS_SEVERIN,65024,65024,66956,0,4620,1145,81263,6733,0,0,25902,0,0,10968,8269,4435,4250,23,4120,874,0,553,1332,1877,496,3104,230,400,10922,183499,2774,2774,0,13996,789,37357,272,1262,330,1370
HUNEDOARA,50181,50128,35369,371,1888,1569,87090,3891,63,101,20467,376,7294,1793,1487,660,12586,650,7937,2923,15,1838,3244,3810,1733,7411,284,1776,47063,125159,0,0,0,9485,1191,27716,195,1143,231,1933
TIMIS,371935,370392,616798,0,71178,6805,696561,15529,1476,73,14769,0,3806,104208,69667,30675,49399,3345,19034,6068,11146,6004,8781,11546,1667,13735,487,1244,59401,424577,26431,25285,1146,7176,784,16086,747,1588,1608,1085
