county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BUZAU,256997,256982,281295,100,41179,3725,550616,3834,8038,636,13310,0,1306,99324,114617,5646,17174,679,24709,3670,46791,1744,4587,1266,1597,6060,88,405,17875,227248,83766,81613,2153,7367,1963,23897,1091,2315,838,1543
CONSTANTA,474324,474232,952479,99,272190,17449,335854,2340,52183,424,7662,0,49,97882,258610,2838,5796,18,12361,1277,1329,833,1012,7704,319,8586,167,220,87869,81871,58135,53924,4211,503,290,4214,3784,1120,3305,594
GALATI,269848,269433,186170,323,56912,3700,452929,1210,23390,825,10011,10053,0,48102,140280,14767,23963,1408,81323,57050,40940,10067,17568,11988,1486,16017,1188,2183,14232,173189,67772,65877,1895,3028,616,3071,959,2141,215,833
TULCEA,259211,257700,395241,334,98227,4255,274807,11374,9263,1015,14079,0,49,61930,143812,11829,14613,670,10685,1709,11830,1839,3958,1778,640,9219,644,1768,28291,96318,39559,37872,1687,1179,409,248,92,66,19,38
VRANCEA,122343,122343,106350,324,9338,9647,317381,172,586,434,26186,0,2474,8525,17119,329,18306,608,14504,1607,1916,2218,7408,3362,702,9822,205,1018,134572,131521,171567,144220,27347,10160,940,14688,532,2621,105,2637
ILFOV,66455,66370,83430,0,16410,1604,65131,4253,3326,80,2838,0,0,22760,28594,234,19969,5211,21340,3020,10233,6151,6480,2223,822,3356,470,612,30207,38306,5040,5029,11,380,323,478,821,708,324,33
BUCURESTI,75,54,0,0,3,0,21,0,0,0,0,0,0,0,2,0,0,0,26,813,8,10,0,0,0,0,0,0,128,241,0,0,0,0,0,0,0,0,0,0
ARGES,153976,153976,188726,0,15221,15165,304315,23025,650,72,33453,0,11394,13721,34204,649,17426,0,23706,1719,697,1904,3033,1132,462,9400,105,870,34563,165904,4017,3945,72,12500,3208,53208,1301,2509,131,1826
CALARASI,404528,405438,711818,63,167799,2850,711259,3164,33301,299,547,0,103,219456,108473,54886,2849,283,5527,503,2450,779,859,503,174,2038,348,402,50765,190014,19644,19637,7,737,575,692,265,98,152,188
DAMBOVITA,162970,162958,137676,16,27764,15970,284143,9489,4397,343,46417,0,757,14931,30871,192,182743,1717,36348,9293,6254,9960,11975,15967,2072,15082,403,1060,61399,121685,1272,1249,23,43809,3689,19380,756,1644,273,1168
GIURGIU ,241306,241275,386843,135,110530,1516,297957,12935,10067,100,3236,0,0,81688,85801,23513,17746,2860,21703,4755,4093,6374,7116,759,1399,3860,1097,385,49688,112370,16612,16070,542,1641,695,2086,1385,1525,212,788
IALOMITA,350346,350110,600519,169,93857,1444,711300,732,27071,359,21,0,0,203855,140605,21042,13569,2747,8054,2671,61118,8948,21443,4132,608,4867,1291,884,35380,147906,18414,18324,90,164,50,493,359,253,94,67
PRAHOVA,142118,141702,152335,0,19938,1038,287216,1197,2749,32,24387,0,2391,38471,46082,2082,14594,284,16511,2867,359,1644,3821,2502,1047,4292,332,862,51137,89084,45463,44488,975,7801,2256,18010,1373,1901,713,1745
TELEORMAN,408892,406406,807624,35,113777,7266,423773,10613,24935,307,1749,0,0,161232,174459,1200,24006,995,20078,3617,15489,3471,3940,1169,3176,13387,598,757,92402,100345,40318,40278,40,948,511,2323,1282,429,323,653
DOLJ,478872,478378,894001,6631,135684,10211,584754,24981,23073,468,6512,0,738,79166,234064,2177,40894,862,36203,5210,131205,4013,8198,2638,3074,10815,3090,2019,56842,178543,75224,74443,781,1515,815,5270,936,1463,125,418
GORJ,79850,79850,43394,45,2764,4973,326947,9775,371,273,38192,0,5426,0,547,0,18291,0,8629,3187,0,1942,2753,5659,837,10756,473,13459,210,69758,20470,20470,0,3869,1219,20759,1299,1612,231,1315
MEHEDINTI,143595,143423,218627,658,20298,8792,334067,5984,12879,793,9223,0,287,24482,51774,46,21613,1032,6222,2315,23708,917,1633,1513,1800,10411,947,1518,66,47941,33871,33302,569,14317,2042,27168,1148,2578,326,1493
OLT,364933,364882,719515,0,54241,11022,585431,20737,10220,419,15114,0,0,56831,176729,3348,36227,2353,36171,9020,34841,10303,14215,2554,2706,7630,1399,865,24989,147551,26879,26646,233,3997,1054,24599,3196,1641,328,1058
VALCEA,66273,66273,41233,0,1630,5273,245578,2049,1,110,47794,0,560,1951,3158,60,20032,388,13974,2915,119,3029,7226,2655,1078,9706,111,648,3909,86819,28240,27437,803,14756,1872,43165,997,1328,156,2231
ARAD,326067,325303,340468,40,49477,67498,679415,28210,2893,78,12815,122949,2684,71253,119415,9326,51390,4292,47082,11338,19612,7430,13480,12939,3575,17350,2028,2609,55863,258694,12317,11199,1118,2759,484,5508,198,847,551,1050
CARAS_SEVERIN,76769,76769,68746,252,6223,924,71260,4340,0,13,80260,0,36,11014,9232,3471,3732,17,4838,902,0,618,1161,2399,444,3935,212,272,19997,166870,4114,4114,0,7468,894,17700,341,956,357,1342
HUNEDOARA,47424,47419,33087,6,1819,155,71948,1122,69,39,93100,494,22163,516,678,490,16142,553,6418,3059,0,1717,3558,4183,1591,8503,217,1950,20706,132179,0,0,0,6934,1248,18566,233,866,263,1476
TIMIS,501424,501270,686736,0,75005,10083,871372,18274,1559,50,19730,55879,4161,80316,161889,40364,56560,8872,22183,7762,21509,6299,9937,8938,1946,14322,830,1730,47460,533962,22513,21710,803,4056,962,9859,1576,1146,1975,1149
