county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,285605,285596,336943,1185,80565,30160,537388,1638,672,223,75032,102159,6244,22975,55649,14378,23097,5457,14672,4865,11461,4882,5035,5216,1012,4085,1171,2396,98124,586278,12579,12302,277,12370,1912,11263,1877,1230,4866,1565
BISTRITA_NASAUD,61679,61679,12653,4,7795,8090,86367,1031,0,8,90158,3051,8744,23,863,85,13167,96,4453,1139,0,1115,953,2761,572,3586,6,565,101720,229224,2309,2245,64,18724,726,7781,58,1775,9,1148
CLUJ,108274,107677,47819,0,41018,13214,192241,3867,518,766,111018,35449,4596,2472,6748,4336,30934,1515,15914,6292,598,1447,2292,12130,1380,10551,510,4457,139710,256591,1000,1000,0,5782,1372,7423,282,481,182,739
MARAMURES,63652,63651,12275,26,2114,6631,102779,9241,0,201,158254,6,6079,34,2442,0,8179,86,2750,1378,0,833,1334,1976,795,2261,12,474,28512,358811,1178,1178,0,16908,1952,8113,31,1723,99,2303
SATU_MARE,205648,205236,174384,481,23659,16255,464520,38927,1105,159,31686,56215,41799,45033,66118,24525,35895,2745,16168,7430,3167,5981,4000,5732,669,2437,506,1837,125399,287995,13545,13495,50,16475,1364,19535,535,1736,646,1452
SALAJ,70744,70646,23922,0,6327,11768,120703,9060,167,1,96524,0,2906,584,6762,1901,10434,563,6372,2565,0,1318,2737,5606,1171,6413,220,1031,41882,266818,7737,7691,46,16206,1460,18029,587,771,334,1736
ALBA,118142,118095,66201,158,14606,4287,268119,7911,62,56,55853,12431,4622,3269,11830,2035,22543,298,19211,3948,101,2274,4307,13015,2016,14445,90,1761,166063,347145,37567,37567,0,6833,2131,6207,708,968,1088,1524
BRASOV,69976,69846,36971,1071,16374,2284,47172,10171,2363,0,131009,132565,17505,6448,277,3208,3865,20,1092,228,0,26,48,1123,27,1906,10,128,188287,367870,0,0,0,3953,650,1975,245,142,2,81
COVASNA,83454,83449,109861,2280,20358,2972,62490,5468,448,120,289048,119965,12243,5711,982,1247,23391,20,1380,592,0,9,15,2640,181,13484,58,97,124397,220928,0,0,0,2843,146,2477,1,341,1,719
HARGHITA,52261,52255,34539,2111,16220,8508,10607,5075,41,0,214091,6255,4,34,0,8,6506,0,315,23,0,0,45,2500,24,2028,7,6,94590,220803,0,0,0,3330,337,1436,0,161,1,252
MURES,181805,181805,108803,328,25581,15871,404333,11733,467,244,102730,111716,5043,9165,17064,9642,25960,1426,18057,6079,2807,3586,6766,11912,1781,16175,688,1704,238689,722092,4265,4265,0,13961,1277,6082,177,1202,149,1416
SIBIU,68401,68400,21100,133,5504,1607,143662,6011,360,59,63328,24094,3740,1241,822,1128,15769,480,3688,2983,0,674,1240,3949,491,5186,172,527,93518,334726,599,599,0,9093,421,3739,43,279,52,260
BACAU,150427,150390,66038,36,8979,4197,421313,303,1441,299,36104,5054,3695,10674,26954,1166,20031,585,14205,2064,923,1729,6748,3806,1599,12297,24,1380,76078,340548,26932,26914,18,5597,687,4185,497,1217,322,1599
BOTOSANI,267269,266428,114207,834,14161,21240,533912,331,1209,2712,130748,33472,14715,12323,119825,36553,26715,882,18880,4484,18052,2418,7631,2082,3361,8814,386,2863,208841,390746,11617,11536,81,12755,1663,6200,755,2458,109,1310
IASI,227820,227348,149796,287,16065,9747,486253,1597,2746,1479,79322,131086,11422,22449,67889,11629,30655,1187,28606,5219,23331,2845,7900,10292,2019,14467,676,3237,62366,334742,55453,54359,1094,11030,1847,8388,1381,7565,21,1423
NEAMT,150821,150821,95214,1581,26861,13578,410563,9569,2230,390,116632,166058,18324,24518,40863,9397,17140,495,9948,2690,380,1561,3795,4258,1454,8780,226,1512,33003,342117,3098,3098,0,10083,856,4927,212,1598,16,1200
SUCEAVA,175080,174875,76296,8161,13362,22235,203505,7872,1572,1378,364301,30353,58926,3782,7490,4678,51057,1491,11216,6233,438,2347,6418,8939,3824,15576,332,1219,230698,816491,0,0,0,24985,2762,6110,45,1104,0,1603
VASLUI,203690,203241,142353,0,18040,5763,417976,495,2603,279,13650,306,16064,31185,122156,956,21759,340,11194,2201,13258,1445,4479,2021,1711,6843,384,1696,52332,137690,78955,77480,1475,7095,845,3176,673,2857,86,1058
BRAILA,364000,363903,369267,252,158828,4828,624720,1457,13220,582,1329,14892,39,74001,276994,68134,1843,28,3091,309,44498,1063,5355,1866,31,3417,38,21,9352,311059,15079,13866,1213,745,355,2494,1820,1099,341,764
