county,year,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,2015,281006,281006,332807,1408,65033,24527,294172,431,413,465,67508,61753,0,8667,33861,5376,21281,5097,10023,3769,11035,3293,3925,3229,992,3226,912,2138,77688,572595,14955,14568,387,15071,2095,15622,1573,1703,7766,850
BISTRITA_NASAUD,2015,62773,62773,9612,69,5982,4490,60454,786,0,23,104701,77,6916,172,465,22,11726,0,3887,1195,0,1168,1035,2357,670,4078,8,727,85932,210091,1447,1405,42,33013,1212,10592,8,1993,9,803
CLUJ,2015,106644,106093,39342,584,36975,10568,132149,1813,319,745,85421,32278,5342,4094,4752,1571,32818,1095,15952,5234,609,1677,2595,9983,1369,12536,533,3486,134645,243948,1020,1020,0,7017,932,9635,248,649,83,493
MARAMURES,2015,65794,65609,9781,20,1417,5678,51217,7095,0,295,113512,0,6395,0,618,0,9142,81,2689,1427,0,994,1421,2146,840,2257,12,600,21694,377579,958,958,0,42657,1476,11318,38,2323,150,1890
SATU_MARE,2015,192825,192774,159479,559,17792,13652,266963,34915,579,159,46331,110447,35799,9335,30491,4446,33493,2491,13555,6021,6889,3353,3514,5437,616,2279,434,1647,115298,246978,13941,13828,113,15711,901,18784,537,2298,900,1267
SALAJ,2015,69816,69466,19455,22,4225,11082,68430,6783,15,8,59273,0,2622,306,3567,258,11075,281,5947,2550,37,1303,2572,5347,1297,4889,178,842,45672,258304,9024,8984,40,21655,1317,18929,428,1024,229,1224
ALBA,2015,114582,114321,66879,167,13869,3823,209365,6710,149,115,47323,13663,63515,2938,8433,568,24734,320,21874,5661,278,3172,5643,14122,3017,16648,86,2091,124068,339416,23824,23823,1,7819,1387,5623,539,1356,555,986
BRASOV,2015,74550,74446,37183,983,13847,1635,34287,7659,646,0,248619,109895,22644,3387,252,1785,4755,0,1476,338,0,62,54,1490,33,1820,0,180,149396,360092,0,0,0,2158,630,2418,154,232,1,58
COVASNA,2015,72766,72763,62464,1692,12338,2721,27466,4665,35,65,239324,141021,10213,3716,10,402,14815,48,599,272,0,11,34,2049,68,2858,22,87,107464,216792,0,0,0,2803,120,2282,2,525,2,506
HARGHITA,2015,56419,56363,31169,2045,14414,8068,7208,4651,0,0,190620,3340,8595,7,0,17,6453,2,417,68,0,0,31,2281,12,1888,6,10,76470,218228,0,0,0,3912,336,1646,0,238,2,181
MURES,2015,183165,183159,115422,176,24302,15939,279036,10049,369,131,65440,95042,3447,7125,7721,3214,26829,1317,18046,6458,3476,3532,6763,10872,1573,16454,805,1535,239324,722148,2360,2360,0,33258,1237,5802,157,1513,159,1076
SIBIU,2015,73128,73036,21354,149,3561,1591,90066,5085,49,63,54860,22997,3925,1074,459,790,17465,666,4316,2756,0,795,1138,3224,545,5123,178,527,88583,342682,518,518,0,7522,403,3029,65,354,57,222
BACAU,2015,150961,150942,44756,12,6648,3900,282050,54,297,476,30281,776,24453,4214,11076,287,30316,483,19748,2903,1944,2207,9151,6166,1790,11623,106,2127,98202,336858,27726,27693,33,5601,640,4182,384,1835,213,1090
BOTOSANI,2015,274378,273712,74825,477,10387,20012,367915,570,120,3931,118009,50996,23925,6540,56465,51523,26738,1058,19580,4827,17159,2699,6820,6347,4025,10479,428,3447,206413,495792,8097,8034,63,12628,1419,7140,784,3629,125,1142
IASI,2015,238456,236349,113838,230,9270,9191,279856,1359,318,2290,98204,134996,27301,15252,44005,13774,35529,822,29650,6060,24623,4019,9050,9709,3223,18395,771,4223,80067,349974,55288,54100,1188,11788,1853,8281,2280,9562,24,1136
NEAMT,2015,150093,150027,85585,1697,20373,12816,232546,7409,116,480,98142,113008,25507,12588,23269,5869,22348,460,9061,2784,1615,1432,3606,4277,1671,9439,151,1767,26457,356922,2968,2968,0,12114,683,3230,132,2857,10,904
SUCEAVA,2015,177341,176547,46051,4538,8658,14381,89681,3904,336,1470,197060,14912,58268,2585,2693,3165,48387,1835,13533,7043,842,2246,7394,8554,3506,17571,404,1496,176325,676276,0,0,0,31460,3128,6251,69,1607,0,1207
VASLUI,2015,224847,222330,143977,0,11334,3583,245338,646,238,879,13599,3488,4996,4972,59835,369,18657,266,12357,2478,11087,1980,4802,2969,2038,9330,396,1895,81411,253585,54689,53331,1358,7844,796,3221,672,2899,120,709
BRAILA,2015,346115,345987,297203,195,127249,3139,438705,2867,7273,979,4126,3593,330,66147,149559,53151,4308,67,5071,635,42234,2026,7628,1735,287,2929,45,385,14052,261692,8917,8475,442,1306,550,2411,1469,1432,416,468
BUZAU,2015,341358,341181,342516,0,60192,2839,355449,3485,2522,499,10785,0,2937,61452,113855,1200,14196,426,20320,2736,33125,1642,3662,1326,1488,6813,85,472,21170,145242,73770,70694,3076,14339,2453,32303,1164,2710,1099,1070
CONSTANTA,2015,484007,483806,670293,0,217714,18897,173192,2146,11006,403,12285,0,0,87667,151939,497,9932,53,13808,2079,3595,1527,1777,10752,720,13564,309,255,200829,99447,38819,37348,1471,547,271,2946,3178,771,3121,387
GALATI,2015,273646,272170,164967,68,34742,3390,280975,1180,1827,959,9833,2320,2,10844,85661,12627,21109,1160,79972,54744,53239,10212,12576,15113,1512,19057,569,2176,17214,155566,49829,48773,1056,3493,786,2623,953,3166,281,658
TULCEA,2015,241806,237658,294902,333,68098,3114,157101,3583,1671,648,6329,0,110,34324,78800,9144,18582,383,14656,2075,11912,1791,3775,1840,789,9400,454,1942,12162,60375,30375,29612,763,1353,231,309,163,224,19,31
VRANCEA,2015,132572,131999,80569,59,6131,8674,160128,484,151,254,12826,0,8978,6471,18091,52,14929,761,13017,1672,4398,2645,7560,3066,584,9854,98,1097,182169,133413,143798,116274,27524,11767,737,22557,611,3255,135,1717
ILFOV,2015,64683,64495,78412,0,16655,972,47324,3998,365,78,2285,0,0,16167,21093,297,26402,4261,28952,4378,2157,5364,5143,2937,1634,3306,514,703,24628,32359,4387,4370,17,452,245,584,675,930,254,30
BUCURESTI,2015,88,36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,169,4531,8,2,10,0,0,0,0,0,54,102,0,0,0,25,0,11,23,16,16,0
ARGES,2015,153816,153570,125995,127,9733,10627,161960,17419,35,61,23875,0,14517,9178,19133,334,25015,0,19904,1731,103,1760,2113,2168,1094,12121,119,1089,36201,151912,4732,4636,96,40671,4085,55863,1172,3024,91,1247
CALARASI,2015,391451,388488,618397,328,185239,2550,584339,1911,8888,442,412,0,15,138587,95973,40306,4537,215,6551,1000,5585,1195,1370,1221,381,2077,322,393,43052,127894,11866,11860,6,738,500,689,251,125,165,187
DAMBOVITA,2015,155708,154911,90724,0,20441,12545,184120,6012,196,191,43613,0,1031,8176,12145,450,200594,2388,36307,7850,4702,9291,10321,18981,2911,17436,510,1344,68191,145324,1577,1548,29,44690,3848,37071,933,2093,353,1076
GIURGIU ,2015,254116,252355,344170,39,87592,1341,213223,15130,1620,220,3023,0,0,39468,71780,14176,23585,391,25933,4148,4284,4833,7149,1105,1537,3781,1244,812,66416,173288,14570,14166,404,2198,444,1939,1417,1878,135,534
IALOMITA,2015,350353,350195,526357,0,101523,775,471954,2021,7789,485,221,0,0,136217,107702,13270,18674,1800,14960,2040,57520,9658,16841,4761,865,3906,1201,1274,23606,156087,12344,12295,49,178,48,428,501,297,53,52
PRAHOVA,2015,140109,139402,136743,286,20192,1142,185874,2290,51,59,24094,0,3187,23450,29431,449,17646,515,16761,2748,425,1959,3931,2661,1316,5106,388,949,48786,72997,35282,34716,566,14366,2434,21312,1186,2320,498,1297
TELEORMAN,2015,393226,391298,522410,0,99616,6592,231463,11346,1160,78,3331,0,0,60385,144565,874,23689,568,20927,2760,16752,4812,3531,1450,2900,13047,591,759,73324,86118,22629,22595,34,1156,510,1713,1146,641,114,412
DOLJ,2015,424906,423162,569306,6164,83032,6333,326960,17223,2669,450,4885,0,552,32336,112113,2533,45266,1180,37563,4245,103250,4043,8924,2353,3750,10269,1041,1912,63810,207136,36693,36250,443,1642,844,3786,1006,1669,195,359
GORJ,2015,85635,85508,27668,25,1571,4492,151042,6524,145,631,26303,0,5274,0,122,0,21652,0,9518,3403,0,2325,3358,4585,1302,9728,458,2696,81,69893,10740,10740,0,6809,1136,22057,932,2108,184,1148
MEHEDINTI,2015,130571,130571,128366,1500,12580,5833,157557,3748,1606,1116,11011,0,259,5906,13146,0,14935,99,4789,1681,14286,813,2539,1834,1929,7947,737,1316,937,43378,14431,14106,325,8943,1194,18420,1198,3178,450,1091
OLT,2015,353067,349659,454445,0,54465,7972,302661,17966,1193,198,7093,0,0,35379,84250,736,32955,1320,54291,7860,25143,11405,18367,2311,2822,7868,769,736,29967,136799,18178,17939,239,5747,821,27696,2119,2221,326,723
VALCEA,2015,73259,72924,30212,0,1064,3199,128064,1634,0,145,40033,0,7131,0,35,0,24086,644,12870,3390,269,2224,4901,3204,774,7282,43,508,4338,95802,22192,21447,745,14479,1072,46032,943,1969,214,1705
ARAD,2015,330348,329065,323487,194,38052,57792,451140,18683,226,59,7223,95064,2666,36918,77493,6622,48041,2857,35643,8638,23301,6668,14776,12485,3216,14237,2191,2324,74500,228819,8012,7459,553,5244,571,5182,211,1025,754,734
CARAS_SEVERIN,2015,75491,75488,36640,89,1892,1208,68062,1928,86,141,47095,0,0,3029,9385,1665,5153,15,2602,1132,0,586,1157,2679,465,3350,254,333,10236,246802,4213,4160,53,7982,677,20504,314,1207,345,1014
HUNEDOARA,2015,32738,32729,26946,0,903,525,35242,2593,12,0,518,623,9,285,320,154,157,0,74,20,0,31,40,120,2,64,4,11,20368,14547,0,0,0,1541,24,1735,8,8,8,15
TIMIS,2015,445738,444597,657714,23,94062,12615,700009,13388,812,244,34682,30356,5725,20115,101200,10064,54289,7726,17820,6478,20156,6000,11439,9186,2849,19587,1095,1976,61086,264546,14596,13624,972,5740,636,11685,1117,1358,1803,727
BIHOR,2016,286245,286245,240400,1359,78579,31765,404334,682,373,406,61997,60580,4640,11466,53381,5460,21051,6378,11895,4225,7509,4808,4925,3784,982,3808,1130,2009,60838,546837,12728,12452,276,12124,2212,9314,1634,1726,7578,999
BISTRITA_NASAUD,2016,64128,64128,9725,32,6483,6832,72959,663,0,9,125597,2506,8089,0,720,112,12293,75,4216,1067,0,1040,809,3015,602,4470,7,722,82669,201892,1505,1460,45,35150,1170,9704,58,1969,10,773
CLUJ,2016,114295,113824,44024,484,39641,11047,199779,2423,277,801,117347,28399,5133,4756,7583,3225,29273,1024,16622,5376,557,1241,2063,10878,1379,10334,541,4511,134176,257325,934,934,0,7294,1078,10011,278,496,109,528
MARAMURES,2016,67652,67652,9858,19,1849,6441,68861,7514,0,237,117919,21,6289,1,1266,0,8321,79,2458,1265,0,819,1321,2007,710,2136,12,441,26962,340043,739,739,0,33162,1427,11024,41,2325,191,1816
SATU_MARE,2016,202670,202564,163376,416,19142,15671,361313,37722,677,289,22358,51811,35373,14189,43877,22775,38478,2662,13945,6207,3539,5551,3966,5576,717,2264,493,1810,123334,278347,10605,10552,53,16448,1116,17555,621,2287,1242,1285
SALAJ,2016,72103,71849,21505,1,5608,11251,84368,7649,113,1,65575,0,1860,1067,5537,1441,9623,370,5928,2516,0,1300,2675,5442,1089,5472,219,991,29228,239987,6070,6035,35,20549,1331,18509,470,990,276,1237
ALBA,2016,110678,110608,68362,211,15345,3934,237726,5679,49,117,41938,12094,49403,3839,8853,1461,22755,313,18677,5047,181,2602,3764,14842,2286,18607,103,2304,133690,328853,26557,26557,0,8669,1682,5479,587,1405,711,1085
BRASOV,2016,74707,74427,39412,1598,14439,2765,38969,9913,786,4,192137,120100,14108,5110,435,2517,3680,18,1308,297,0,25,54,1130,30,1861,11,131,129927,347398,0,0,0,3604,725,2210,172,219,2,62
COVASNA,2016,75624,75581,69768,1926,14837,2825,30965,5619,194,151,255515,126720,13082,6852,11,1439,13402,13,453,233,0,11,20,2148,93,5104,22,79,115729,220927,0,0,0,2905,139,2357,1,570,1,509
HARGHITA,2016,56057,55941,33941,1953,15420,8353,10093,4211,13,0,153930,1766,4,11,0,11,6270,0,312,22,0,0,29,2519,23,2074,6,6,84406,224679,0,0,0,2935,372,1558,0,240,1,178
MURES,2016,183860,183854,111646,355,24718,15121,328757,9691,528,239,100644,103659,4235,11793,9290,7113,27297,1300,18424,5820,3128,3727,6013,11553,1701,16160,638,1744,231931,725716,2445,2445,0,25667,1479,7145,169,1364,212,1131
SIBIU,2016,70406,70384,21022,125,4175,1579,107282,5464,135,65,62777,134,18114,2194,1078,949,15395,479,3585,2974,0,651,1088,3746,484,5010,174,528,76249,320396,629,629,0,9396,471,2945,46,311,68,233
BACAU,2016,156968,156910,54851,29,8074,3979,363079,284,156,376,25789,5233,4925,7591,15640,670,19083,723,13015,1555,754,1525,5672,3824,1589,9384,24,1225,71852,331602,20555,20541,14,5445,739,4122,404,1768,280,1138
BOTOSANI,2016,268257,266658,83140,758,10208,20694,334027,711,50,1887,111055,41494,14249,7032,50640,19989,24538,745,17568,4776,16855,2318,7334,4785,3190,7831,264,2617,171963,365257,7828,7779,49,11393,1415,6249,816,3367,171,1143
IASI,2016,239394,238951,139265,386,12352,9057,365201,2189,484,2208,86385,113555,9447,11073,40398,7144,30089,1163,26668,5084,26306,2708,7116,9625,2127,13034,585,2342,56726,328774,50067,49003,1064,10028,1580,6168,2094,8698,27,1079
NEAMT,2016,153836,153814,102081,1413,26356,12348,290601,5932,355,276,92316,134091,15697,19575,30411,7569,16771,359,9011,2429,1247,1558,2859,3809,1380,8059,271,1472,29368,299731,2478,2478,0,10412,761,4351,148,2330,13,895
SUCEAVA,2016,176356,174856,58732,5554,11958,20607,123646,4535,216,2151,252678,19999,58159,4546,4108,3159,49350,1572,12349,6285,840,2105,5222,7981,3048,14379,340,1292,148616,731050,0,0,0,28900,3413,6317,66,1524,0,1221
VASLUI,2016,228130,227942,167527,0,14434,4327,235456,601,188,360,9210,14409,4591,19761,54159,892,18085,347,8890,2026,11513,1376,3993,1539,1628,6453,356,1459,41901,135734,52912,51860,1052,8700,869,3983,708,3867,135,735
BRAILA,2016,376762,376425,362188,201,178781,3777,541734,1781,7086,535,1125,10257,1042,53806,225249,56992,1432,16,2271,260,30854,1002,5187,1631,24,2969,27,18,27578,286815,11189,9970,1219,1239,577,2031,1506,1286,351,505
BUZAU,2016,257870,257487,229214,25,30615,2290,423947,4504,4393,973,12492,0,3422,56864,71887,2586,17192,632,24195,3558,33123,1598,3441,1221,1889,5660,87,275,45919,196993,67642,64462,3180,13556,2768,30932,1227,2849,1473,1203
CONSTANTA,2016,483980,483840,743847,34,255871,22046,196321,2125,9436,282,3274,0,0,102058,115414,229,6942,18,15025,1238,5901,837,867,7527,357,10922,165,148,139816,87372,30072,29677,395,390,317,2956,2165,927,2405,314
GALATI,2016,286582,285217,235961,111,60774,2957,352771,2263,7766,630,8271,7792,0,51289,112104,12415,21945,1451,95892,56146,33898,9686,17133,12163,1600,17648,315,1939,13200,148322,48707,47553,1154,3422,873,2882,1041,3063,384,634
TULCEA,2016,270872,267841,359148,282,90422,3575,162751,9936,1869,434,4926,0,56,63319,104335,6696,13646,324,9911,1273,6748,1270,2837,1187,547,8522,414,989,10048,78501,29236,28769,467,1240,260,205,88,90,19,32
VRANCEA,2016,134072,134072,85497,303,7518,9099,205916,202,437,1258,14872,0,8537,8275,19716,192,17969,403,12958,1554,4437,1621,6543,2988,697,9250,87,1106,144797,115463,140436,114750,25686,12355,1031,17526,651,3225,176,1774
