county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
TULCEA,270872,267841,359148,282,90422,3575,162751,9936,1869,434,4926,0,56,63319,104335,6696,13646,324,9911,1273,6748,1270,2837,1187,547,8522,414,989,10048,78501,29236,28769,467,1240,260,205,88,90,19,32
VRANCEA,134072,134072,85497,303,7518,9099,205916,202,437,1258,14872,0,8537,8275,19716,192,17969,403,12958,1554,4437,1621,6543,2988,697,9250,87,1106,144797,115463,140436,114750,25686,12355,1031,17526,651,3225,176,1774
ILFOV,64454,64234,76387,0,17169,978,48464,3584,872,46,2016,0,0,20389,21780,448,20207,2754,20598,3398,6467,4958,4713,2134,911,3345,445,603,22169,35799,4105,4094,11,388,266,399,592,860,293,29
BUCURESTI,77,54,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,1248,0,8,6,0,0,0,0,0,0,58,188,0,0,0,25,0,11,23,16,16,0
ARGES,153465,153319,136318,2,8576,9149,161367,18319,94,71,36195,0,9574,11120,17226,675,17007,164,17921,1640,575,1821,2256,1118,629,9019,96,877,24891,164595,2827,2740,87,39453,6462,67238,1280,2967,140,1410
CALARASI,394165,391425,613625,45,183652,1494,522785,3867,14712,232,308,0,30,181163,97921,43388,2780,120,5030,469,2741,724,859,1454,165,2631,425,412,27829,119703,10925,10863,62,729,525,707,231,120,146,186
DAMBOVITA,157200,157029,99573,0,24011,15229,178519,6909,832,275,47455,0,830,13109,15933,183,189672,1563,35618,7544,5505,7980,9880,15539,2113,14190,390,1386,59765,117387,1281,1258,23,61688,4273,44416,967,2009,488,1016
GIURGIU ,243284,241267,289733,38,94086,1252,191248,12312,2866,253,3563,0,0,59534,55697,4597,16822,538,16034,4420,6509,4920,6632,548,1284,3681,936,676,43866,65312,9731,9405,326,1952,540,1994,1558,1883,219,503
IALOMITA,349927,349316,539668,123,105061,578,432887,1743,10670,481,21,0,0,196476,135316,16443,14531,2959,9489,3224,46059,9876,22463,2384,541,3228,916,1066,28129,139984,11894,11856,38,181,51,402,233,269,89,54
PRAHOVA,142824,142273,157447,77,25565,1506,209229,1800,87,43,23928,0,2714,28358,36165,1156,14229,360,15764,2694,343,1656,3717,2449,1104,4267,305,752,40132,73643,28327,27838,489,10966,2751,27780,1306,2308,673,1367
TELEORMAN,375803,374012,580409,401,105870,6529,263332,8706,2918,469,1310,0,0,86501,96575,1176,20964,795,17500,2685,14405,3266,3164,1099,3090,11573,607,723,67121,73095,19844,19813,31,949,458,1706,1121,636,154,423
DOLJ,493159,492740,663827,6188,120372,8600,396105,21934,3483,626,6326,0,440,46277,154412,4994,35960,917,29662,4713,125573,4009,7211,2630,3034,7778,1137,1932,48186,181008,35177,34739,438,1891,887,4528,991,1683,215,319
GORJ,87049,87049,29680,34,2241,4673,187242,7304,139,286,30915,0,5551,0,76,0,18707,0,7599,3291,0,2098,2468,5671,921,10579,530,2755,98,68116,9318,9318,0,6633,1149,26731,1008,2027,237,1098
MEHEDINTI,150733,150732,161045,670,15960,7916,201282,4563,2710,1630,4151,0,151,20246,53393,279,21307,638,5836,1782,13582,1161,2390,1364,1749,9687,868,1584,219,49274,11267,10960,307,13546,1756,23113,806,3112,582,1137
OLT,381038,380092,440377,0,43140,9135,291032,17548,2248,612,8304,0,32,43681,91526,3317,30041,1178,27585,7326,28226,8133,12382,1974,2679,6373,817,756,23510,143166,17845,17628,217,5858,809,27490,2279,2216,439,722
VALCEA,70526,70526,30122,0,1422,4310,167753,1690,0,169,27076,0,529,392,1165,20,18636,400,13174,2663,115,2698,5481,2500,1100,9205,113,588,3746,80047,21952,21177,775,15886,2025,46598,1036,1946,290,1778
ARAD,359566,356443,407658,108,49228,66956,649972,21831,1257,77,7729,117546,2480,77982,122673,9543,51171,2856,32860,9650,20945,7266,11972,12676,3286,14848,2305,2190,81454,227761,7510,7000,510,4457,591,5101,249,1009,591,834
CARAS_SEVERIN,87517,87517,58609,645,2140,1452,119007,7186,0,14,40124,0,95,11715,15856,2828,3474,16,3297,826,0,431,751,2158,314,3094,196,249,34150,277256,1761,1716,45,6753,664,17799,351,1181,470,950
HUNEDOARA,52101,52095,31272,25,1755,63,49133,1823,68,22,87395,120,23952,339,754,345,16098,523,6083,2583,75,1727,3536,4156,1662,8956,225,2010,43101,130817,0,0,0,7027,964,20337,244,1317,392,1020
TIMIS,434850,434628,660891,0,69422,9199,1136174,13914,271,92,20855,39900,4336,29030,139780,8952,55898,3690,16303,6330,19038,4116,7075,7100,1635,11209,596,1047,36054,269941,19794,19036,758,3894,775,11092,1460,1379,2378,740
