county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,286245,286245,240400,1359,78579,31765,404334,682,373,406,61997,60580,4640,11466,53381,5460,21051,6378,11895,4225,7509,4808,4925,3784,982,3808,1130,2009,60838,546837,12728,12452,276,12124,2212,9314,1634,1726,7578,999
BISTRITA_NASAUD,64128,64128,9725,32,6483,6832,72959,663,0,9,125597,2506,8089,0,720,112,12293,75,4216,1067,0,1040,809,3015,602,4470,7,722,82669,201892,1505,1460,45,35150,1170,9704,58,1969,10,773
CLUJ,114295,113824,44024,484,39641,11047,199779,2423,277,801,117347,28399,5133,4756,7583,3225,29273,1024,16622,5376,557,1241,2063,10878,1379,10334,541,4511,134176,257325,934,934,0,7294,1078,10011,278,496,109,528
MARAMURES,67652,67652,9858,19,1849,6441,68861,7514,0,237,117919,21,6289,1,1266,0,8321,79,2458,1265,0,819,1321,2007,710,2136,12,441,26962,340043,739,739,0,33162,1427,11024,41,2325,191,1816
SATU_MARE,202670,202564,163376,416,19142,15671,361313,37722,677,289,22358,51811,35373,14189,43877,22775,38478,2662,13945,6207,3539,5551,3966,5576,717,2264,493,1810,123334,278347,10605,10552,53,16448,1116,17555,621,2287,1242,1285
SALAJ,72103,71849,21505,1,5608,11251,84368,7649,113,1,65575,0,1860,1067,5537,1441,9623,370,5928,2516,0,1300,2675,5442,1089,5472,219,991,29228,239987,6070,6035,35,20549,1331,18509,470,990,276,1237
ALBA,110678,110608,68362,211,15345,3934,237726,5679,49,117,41938,12094,49403,3839,8853,1461,22755,313,18677,5047,181,2602,3764,14842,2286,18607,103,2304,133690,328853,26557,26557,0,8669,1682,5479,587,1405,711,1085
BRASOV,74707,74427,39412,1598,14439,2765,38969,9913,786,4,192137,120100,14108,5110,435,2517,3680,18,1308,297,0,25,54,1130,30,1861,11,131,129927,347398,0,0,0,3604,725,2210,172,219,2,62
COVASNA,75624,75581,69768,1926,14837,2825,30965,5619,194,151,255515,126720,13082,6852,11,1439,13402,13,453,233,0,11,20,2148,93,5104,22,79,115729,220927,0,0,0,2905,139,2357,1,570,1,509
HARGHITA,56057,55941,33941,1953,15420,8353,10093,4211,13,0,153930,1766,4,11,0,11,6270,0,312,22,0,0,29,2519,23,2074,6,6,84406,224679,0,0,0,2935,372,1558,0,240,1,178
MURES,183860,183854,111646,355,24718,15121,328757,9691,528,239,100644,103659,4235,11793,9290,7113,27297,1300,18424,5820,3128,3727,6013,11553,1701,16160,638,1744,231931,725716,2445,2445,0,25667,1479,7145,169,1364,212,1131
SIBIU,70406,70384,21022,125,4175,1579,107282,5464,135,65,62777,134,18114,2194,1078,949,15395,479,3585,2974,0,651,1088,3746,484,5010,174,528,76249,320396,629,629,0,9396,471,2945,46,311,68,233
BACAU,156968,156910,54851,29,8074,3979,363079,284,156,376,25789,5233,4925,7591,15640,670,19083,723,13015,1555,754,1525,5672,3824,1589,9384,24,1225,71852,331602,20555,20541,14,5445,739,4122,404,1768,280,1138
BOTOSANI,268257,266658,83140,758,10208,20694,334027,711,50,1887,111055,41494,14249,7032,50640,19989,24538,745,17568,4776,16855,2318,7334,4785,3190,7831,264,2617,171963,365257,7828,7779,49,11393,1415,6249,816,3367,171,1143
IASI,239394,238951,139265,386,12352,9057,365201,2189,484,2208,86385,113555,9447,11073,40398,7144,30089,1163,26668,5084,26306,2708,7116,9625,2127,13034,585,2342,56726,328774,50067,49003,1064,10028,1580,6168,2094,8698,27,1079
NEAMT,153836,153814,102081,1413,26356,12348,290601,5932,355,276,92316,134091,15697,19575,30411,7569,16771,359,9011,2429,1247,1558,2859,3809,1380,8059,271,1472,29368,299731,2478,2478,0,10412,761,4351,148,2330,13,895
SUCEAVA,176356,174856,58732,5554,11958,20607,123646,4535,216,2151,252678,19999,58159,4546,4108,3159,49350,1572,12349,6285,840,2105,5222,7981,3048,14379,340,1292,148616,731050,0,0,0,28900,3413,6317,66,1524,0,1221
VASLUI,228130,227942,167527,0,14434,4327,235456,601,188,360,9210,14409,4591,19761,54159,892,18085,347,8890,2026,11513,1376,3993,1539,1628,6453,356,1459,41901,135734,52912,51860,1052,8700,869,3983,708,3867,135,735
BRAILA,376762,376425,362188,201,178781,3777,541734,1781,7086,535,1125,10257,1042,53806,225249,56992,1432,16,2271,260,30854,1002,5187,1631,24,2969,27,18,27578,286815,11189,9970,1219,1239,577,2031,1506,1286,351,505
BUZAU,257870,257487,229214,25,30615,2290,423947,4504,4393,973,12492,0,3422,56864,71887,2586,17192,632,24195,3558,33123,1598,3441,1221,1889,5660,87,275,45919,196993,67642,64462,3180,13556,2768,30932,1227,2849,1473,1203
CONSTANTA,483980,483840,743847,34,255871,22046,196321,2125,9436,282,3274,0,0,102058,115414,229,6942,18,15025,1238,5901,837,867,7527,357,10922,165,148,139816,87372,30072,29677,395,390,317,2956,2165,927,2405,314
GALATI,286582,285217,235961,111,60774,2957,352771,2263,7766,630,8271,7792,0,51289,112104,12415,21945,1451,95892,56146,33898,9686,17133,12163,1600,17648,315,1939,13200,148322,48707,47553,1154,3422,873,2882,1041,3063,384,634
