county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
MURES,185500,185499,110987,349,21647,10932,497171,9722,264,200,86923,87883,4158,9507,21580,14827,22498,1189,17972,5213,2167,3286,6163,12181,1666,15369,5455,1706,245471,766129,4038,4038,0,27102,965,9187,147,1812,107,1477
SIBIU,62786,62723,21234,137,3322,1019,130656,5167,50,47,63710,26241,13099,3686,1775,2493,16572,377,3898,2488,0,600,1173,3867,474,4796,169,476,72502,186468,261,261,0,8826,366,4164,14,355,52,245
BACAU,162272,162263,58177,64,5024,3248,330964,1521,789,177,37088,4592,3490,7466,32904,2791,28877,461,19195,2663,744,1725,6205,4194,1670,12276,50,1383,78394,299972,22842,22812,30,8187,713,8444,476,2365,221,1582
BOTOSANI,310368,309867,87977,1962,6482,5133,480796,289,346,1822,65222,51538,5685,10517,140314,32446,33131,635,13191,3954,14699,2292,5812,5033,3148,8125,375,2693,152648,330087,9034,8940,94,10960,1153,7544,660,2926,80,1433
IASI,242058,240272,121669,221,11725,3395,225986,1106,1051,1312,42318,102041,11972,10703,65521,8711,29799,1527,25890,6027,28531,3862,8256,10145,2880,14238,732,3282,31644,310628,59405,58008,1397,12601,1870,10657,1290,7691,17,1798
NEAMT,166955,166953,57029,1601,17458,4716,267849,4140,662,283,68117,143219,11613,14605,31044,5341,16838,474,9053,2483,416,1578,3527,3931,1247,7524,236,1422,34516,285127,3087,3087,0,15379,666,8598,180,2365,8,1154
SUCEAVA,187546,186804,76188,6165,9748,14275,160224,8388,620,909,432200,39871,30429,8001,11184,7141,62007,1283,15533,8560,943,3920,9648,9470,4478,23714,1343,2067,230401,694416,0,0,0,32234,2563,10080,38,1779,0,1895
VASLUI,223735,221293,97958,605,6952,2524,152675,96,500,368,11586,2159,4425,14297,78239,1688,18039,277,11958,2295,8484,1383,4303,1483,1003,6088,309,1546,47789,124292,69581,67629,1952,7003,685,4377,550,2701,65,936
BRAILA,346144,325099,135521,0,68232,1557,449505,272,4478,340,635,4525,0,9701,128021,40712,1671,28,4079,272,43173,962,5351,1540,65,2312,63,29,15878,287367,9073,9040,33,1192,276,3506,1061,990,90,657
BUZAU,282792,279369,100942,0,15387,1889,224136,875,4539,329,11253,0,753,22900,69502,5632,17661,603,26535,2622,30897,1604,3895,1197,1708,6569,91,420,13363,150420,85747,81410,4337,14857,2132,38938,1089,2678,671,1956
CONSTANTA,488275,448320,191497,15,75128,6697,92815,1054,11233,301,3519,0,0,41889,100194,2647,5056,0,7939,1249,1240,607,905,5880,397,5999,227,241,32139,36021,38409,35762,2647,677,227,6792,2191,903,1960,1291
GALATI,261604,229983,71715,36,21124,951,124984,377,4656,275,8839,4109,0,13677,74597,7075,26317,1972,80548,48085,34332,9683,16113,7731,1658,12566,497,1840,16691,63041,44834,42939,1895,2558,499,3655,866,2308,173,743
TULCEA,246808,225649,135764,257,35353,1285,59948,448,4055,576,10006,0,96,20091,59712,4106,13883,379,9784,1802,6529,1410,4346,1871,773,5813,467,1468,25601,57381,30607,29640,967,1526,318,431,109,137,21,39
VRANCEA,120139,119775,31425,0,5177,4308,81659,0,280,372,18100,0,2280,1986,9576,54,16727,993,12604,1647,2709,2033,7522,3041,937,8888,114,991,75005,104625,170686,139312,31374,10808,680,27974,469,2654,91,2568
ILFOV,62762,62621,60943,132,10289,579,45016,2497,719,89,3364,0,0,17197,20498,557,20004,3289,22389,3138,6202,5752,5688,2431,1310,3645,4438,610,21603,26913,4111,4109,2,448,164,623,377,629,107,19
BUCURESTI,59,48,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,161,161,0,0,0,0,0,0,0,0,0,0
ARGES,154781,154608,145592,0,7092,3115,154880,16997,435,88,24496,0,9098,4181,41022,312,15956,0,27337,1619,748,1751,3645,1119,437,8471,119,988,28572,92242,3242,3141,101,36549,6061,82962,1151,2766,120,2617
CALARASI,386096,364092,233158,131,75295,504,363482,1061,5663,178,267,0,0,59831,62156,27185,2307,216,5529,1186,1905,919,708,922,463,2073,452,405,31914,138529,13778,13778,0,745,503,601,229,118,165,245
DAMBOVITA,170609,170482,107571,0,26421,12680,236915,5567,2274,225,53512,0,576,6029,34528,1253,113585,2165,44819,8042,7517,8954,8911,15281,2213,15871,416,1162,50489,91225,1095,1083,12,55340,4354,42349,703,2370,216,1038
GIURGIU ,259251,258853,325979,1667,101834,1322,211912,6764,4910,207,2436,0,0,52294,72560,10579,21946,2218,31843,4473,3599,6514,7028,913,1483,3892,1036,444,49852,317086,15092,14182,910,2225,954,3616,1174,1813,146,662
IALOMITA,334309,314119,135832,4,25708,190,286356,480,4710,174,550,0,0,42181,77977,14856,13438,1514,9595,1999,58184,7914,19900,4397,780,4096,556,804,18612,109201,11413,11349,64,241,48,594,421,376,66,59
PRAHOVA,150275,148846,93281,0,13962,1027,219598,1246,1034,49,46512,0,1902,17700,30977,4679,14611,202,13807,2444,212,1571,2355,2005,916,3688,334,816,42001,80241,41321,40335,986,18085,2430,61190,1176,3236,495,2303
TELEORMAN,413814,413375,711853,0,112504,4111,309939,5845,14997,51,4094,0,0,52392,186789,1791,22663,1277,25640,3706,11200,3923,3957,1212,2617,11360,655,931,82330,100924,26306,26298,8,1354,376,4002,1040,735,281,602
DOLJ,532183,531432,850526,5355,125574,7623,543546,22033,17677,269,7029,0,308,33345,259700,3164,45463,1204,42913,5465,143176,3906,7850,2308,3570,10540,895,1963,62848,182135,58323,57570,753,2035,1227,5634,939,2180,139,441
GORJ,81735,81735,36871,0,1936,4966,241618,8031,321,254,31348,1,5254,0,450,0,17635,0,8478,2383,53,1770,2330,4924,778,9441,456,2723,308,66151,11128,11128,0,8359,1264,31642,1177,2097,198,1503
MEHEDINTI,146337,146097,153741,991,17474,7413,284038,4395,7191,278,9104,0,380,13571,41168,1274,20021,715,7514,2210,18539,916,2269,1176,1775,8708,900,1221,1120,50396,28019,27613,406,22540,1895,35379,1335,3738,293,1607
OLT,379262,378433,577310,0,54839,8934,329855,12145,8638,280,4596,0,0,18094,137922,2636,38369,2724,39142,8321,28904,8939,12675,2493,2657,7651,956,882,29454,116256,26829,26529,300,5467,765,39342,2857,2746,255,981
VALCEA,67409,67409,32733,0,1561,3878,173424,1771,3,191,20120,3,5582,1727,3442,0,19300,296,11865,2586,100,2791,6620,2410,1001,7425,60,642,5670,73291,30774,29510,1264,36036,2906,85365,971,1815,137,2553
ARAD,327212,327188,263001,25,50846,18498,605668,14140,2037,81,22918,2842,2634,41201,142875,5383,56780,5943,51361,12375,18715,7553,10958,11956,3119,16800,1588,2611,54528,227707,14955,14038,917,5642,567,8979,309,1224,541,1009
CARAS_SEVERIN,67781,67781,55802,0,2094,1096,79977,6727,16,1,57101,0,49,6020,5869,3206,3990,22,4679,824,138,557,1090,2068,489,3008,222,249,12651,212901,4000,4000,0,13533,700,30118,272,1250,332,1218
HUNEDOARA,53045,53040,34250,331,1713,1233,72045,2105,70,29,66834,1148,15163,765,623,2102,12565,651,6329,3131,9,1849,3186,3843,1767,6936,257,1767,48317,113142,0,0,0,9237,1116,27720,198,1098,218,1852
TIMIS,342523,342022,502583,92,49139,7292,741715,19758,1465,227,18134,0,2664,76933,61716,33307,54355,8050,25702,8045,23839,4990,8209,11302,2363,13080,947,1506,63757,341888,24427,23334,1093,6574,804,16105,795,1599,1793,1028
