county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,311045,311020,369424,1364,37160,9750,601643,2675,1440,445,65505,0,8352,37735,72377,15327,18816,4216,9737,4387,11098,4745,4452,4872,1106,3829,1167,2352,223279,669560,7927,7372,555,13958,1437,14404,1773,1488,5584,1436
BISTRITA_NASAUD,56872,56872,12684,27,4938,5062,85018,1566,0,8,83002,1071,5880,178,1101,139,12395,63,4214,974,1,1006,824,2561,569,3199,6,512,92948,197227,1847,1847,0,34656,895,12651,10,2150,8,1285
CLUJ,119971,119694,36158,499,34327,6524,234627,3520,702,455,121489,52760,5496,3330,13837,5888,29934,984,14972,6897,480,1299,2085,10749,1487,9749,577,4194,137287,237617,1042,1038,4,7735,1012,11051,240,507,71,617
MARAMURES,65341,65341,10523,0,1402,4413,77006,5826,0,167,121554,73,2668,0,2508,0,7882,90,3264,1158,0,854,1247,1706,724,2120,12,471,20348,327640,1057,1018,39,49862,2036,19151,25,2718,86,3684
SATU_MARE,223514,223487,137878,902,15310,14451,511857,27997,639,209,22084,153,40176,40011,84159,26172,38498,3968,15706,6509,2984,6319,3453,4593,658,2448,532,1712,94332,178526,13463,13371,92,11547,1115,29633,455,3051,541,1640
SALAJ,61790,61747,26905,9,4024,2480,113951,7714,722,8,92945,0,2212,1014,9303,3127,10393,515,5948,1894,0,1176,2073,5497,902,4687,218,1026,41881,123689,11963,11888,75,24015,1434,45505,503,1029,227,1456
ALBA,119983,119638,50498,0,10113,3111,249762,10118,164,51,41652,39257,2179,3071,15361,1776,22332,266,18079,4569,115,2199,3391,9544,1926,13825,112,1799,148604,340065,38482,38482,0,11620,1553,12460,571,1213,775,1652
BRASOV,67266,67129,33289,1006,11355,1713,43525,7061,726,1,61115,50137,11258,5574,199,4002,3775,25,963,176,0,32,30,1021,46,1694,12,131,135309,327652,46,0,46,11043,489,3661,123,186,2,76
COVASNA,82037,82030,77273,2319,10634,1998,44007,3743,169,89,287409,63196,8342,4227,1032,1428,25555,0,1163,403,0,9,16,2097,127,12212,20,84,84944,187802,0,0,0,3800,143,3959,2,457,0,698
HARGHITA,51491,51485,36453,1504,10896,4019,11893,3604,0,0,166004,5685,923,104,0,9,5773,0,400,27,0,0,44,2248,18,1813,8,7,80115,184831,0,0,0,4929,230,2579,0,205,1,211
